operation,property_type,price
rent,apartment,2500.0
rent,apartment,3500.0
rent,apartment,2850.0
rent,apartment,1850.0
rent,apartment,1000.0
rent,apartment,2500.0
rent,apartment,2600.0
rent,apartment,4000.0
rent,apartment,1500.0
rent,apartment,2000.0
rent,apartment,1900.0
rent,apartment,2300.0
rent,apartment,1650.0
rent,apartment,2800.0
rent,apartment,3300.0
rent,apartment,1800.0
rent,apartment,2000.0
rent,apartment,2400.0
rent,apartment,2800.0
rent,apartment,1650.0
rent,apartment,2000.0
rent,apartment,15000.0
rent,apartment,8000.0
rent,apartment,12000.0
rent,apartment,700.0
rent,apartment,9000.0
rent,apartment,19000.0
rent,apartment,30000.0
rent,apartment,8000.0
rent,apartment,13500.0
rent,apartment,8000.0
rent,apartment,700.0
rent,apartment,6500.0
rent,apartment,45000.0
rent,apartment,2500.0
rent,apartment,2200.0
rent,apartment,3500.0
rent,apartment,3500.0
rent,apartment,3500.0
rent,apartment,3500.0
rent,apartment,3500.0
rent,apartment,3300.0
rent,apartment,3500.0
rent,apartment,4100.0
rent,apartment,12000.0
rent,apartment,3200.0
rent,apartment,1500.0
rent,apartment,1800.0
rent,apartment,2700.0
rent,apartment,3500.0
rent,apartment,1400.0
rent,apartment,1200.0
rent,apartment,3300.0
rent,apartment,2000.0
rent,apartment,2300.0
rent,apartment,2900.0
rent,apartment,8000.0
rent,apartment,2400.0
rent,apartment,1500.0
rent,apartment,1800.0
rent,apartment,2200.0
rent,apartment,3000.0
rent,apartment,1500.0
rent,apartment,2500.0
rent,apartment,2500.0
rent,apartment,1800.0
rent,apartment,2000.0
rent,apartment,3000.0
rent,apartment,3400.0
rent,apartment,3300.0
rent,apartment,2300.0
rent,apartment,2600.0
rent,apartment,2700.0
rent,apartment,3300.0
rent,apartment,4500.0
rent,apartment,6000.0
rent,apartment,5000.0
rent,apartment,2000.0
rent,apartment,1300.0
rent,apartment,1800.0
rent,apartment,5500.0
rent,apartment,4400.0
rent,apartment,16000.0
rent,apartment,4800.0
rent,apartment,3200.0
rent,apartment,4300.0
rent,apartment,2800.0
rent,apartment,2600.0
rent,apartment,9400.0
rent,apartment,9000.0
rent,apartment,4300.0
rent,apartment,3300.0
rent,apartment,2000.0
rent,apartment,2700.0
rent,apartment,3250.0
rent,apartment,3400.0
rent,apartment,2300.0
rent,apartment,2600.0
rent,apartment,2000.0
rent,apartment,1750.0
rent,apartment,1500.0
rent,apartment,2200.0
rent,apartment,3500.0
rent,apartment,3000.0
rent,apartment,6200.0
rent,apartment,6800.0
rent,apartment,2800.0
rent,apartment,2300.0
rent,apartment,3100.0
rent,apartment,6500.0
rent,apartment,2700.0
rent,apartment,3000.0
rent,apartment,2900.0
rent,apartment,7000.0
rent,apartment,4500.0
rent,apartment,13200.0
rent,apartment,2800.0
rent,apartment,2500.0
rent,apartment,3000.0
rent,apartment,3500.0
rent,apartment,6000.0
rent,apartment,6000.0
rent,apartment,2750.0
rent,apartment,3000.0
rent,apartment,3500.0
rent,apartment,2000.0
rent,apartment,2800.0
rent,apartment,2800.0
rent,apartment,2850.0
rent,apartment,6750.0
rent,apartment,23000.0
rent,apartment,7000.0
rent,apartment,5700.0
rent,apartment,18000.0
rent,apartment,8000.0
rent,apartment,80000.0
rent,apartment,12500.0
rent,apartment,46000.0
rent,apartment,13000.0
rent,apartment,12000.0
rent,apartment,46000.0
rent,apartment,6000.0
rent,apartment,12000.0
rent,apartment,16000.0
rent,apartment,7000.0
rent,apartment,4000.0
rent,apartment,27000.0
rent,apartment,6000.0
rent,apartment,1400.0
rent,apartment,3500.0
rent,apartment,3400.0
rent,apartment,12000.0
rent,apartment,12000.0
rent,apartment,5000.0
rent,apartment,6200.0
rent,apartment,5000.0
rent,apartment,5000.0
rent,apartment,4000.0
rent,apartment,8000.0
rent,apartment,2600.0
rent,apartment,1000.0
rent,apartment,2500.0
rent,apartment,5500.0
rent,apartment,15000.0
rent,apartment,16000.0
rent,apartment,14000.0
rent,apartment,4000.0
rent,apartment,15000.0
rent,apartment,6500.0
rent,apartment,10500.0
rent,apartment,20000.0
rent,apartment,1500.0
rent,apartment,7500.0
rent,apartment,2500.0
rent,apartment,25000.0
rent,apartment,30000.0
rent,apartment,8700.0
rent,apartment,2000.0
rent,apartment,7000.0
rent,apartment,5400.0
rent,apartment,35000.0
rent,apartment,3700.0
rent,apartment,9000.0
rent,apartment,2500.0
