index,kelurahan,total
0,ANGKE,10501
1,CENGKARENG BARAT,26854
2,CENGKARENG TIMUR,34629
3,DURI KEPA,21965
4,DURI KOSAMBI,33673
5,DURI SELATAN,4961
6,DURI UTARA,7241
7,GLODOK,1952
8,GROGOL,5686
9,JATIPULO,11568
10,JELAMBAR,10095
11,JELAMBAR BARU,13436
12,JEMBATAN BESI,11391
13,JEMBATAN LIMA,7680
14,JOGLO,17130
15,KALI ANYAR,9375
16,KALIDERES,30072
17,KAMAL,25042
18,KAPUK,59841
19,KEAGUNGAN,6361
20,KEBON JERUK,22186
21,KEDAUNG KALI ANGKE,13512
22,KEDOYA SELATAN,12443
23,KEDOYA UTARA,17144
24,KELAPA DUA,9362
25,KEMANGGISAN,12008
26,KEMBANGAN SELATAN,10109
27,KEMBANGAN UTARA,22925
28,KOTA BAMBU SELATAN,9303
29,KOTA BAMBU UTARA,10712
30,KRENDANG,7669
31,KRUKUT,7029
32,MANGGA BESAR,2239
33,MAPHAR,5293
34,MERUYA SELATAN,13740
35,MERUYA UTARA,17315
36,PALMERAH,24962
37,PEGADUNGAN,31296
38,PEKOJAN,7846
39,PINANGSIA,3608
40,RAWA BUAYA,27306
41,ROA MALAKA,840
42,SEMANAN,32101
43,SLIPI,6395
44,SRENGSENG,18980
45,SUKABUMI SELATAN,16180
46,SUKABUMI UTARA,16315
47,TAMAN SARI,4546
48,TAMBORA,3543
49,TANAH SEREAL,9289
50,TANGKI,4224
51,TANJUNG DUREN SELATAN,8264
52,TANJUNG DUREN UTARA,5617
53,TEGAL ALUR,36518
54,TOMANG,10138
55,WIJAYA KUSUMA,14459
